action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,146196,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,Cc1c(C(C)C)nc(C(C)C)c(CO)c1-c1ccc(F)cc1,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,"{'bei': '17.00', 'le': '0.32', 'lle': '0.18', 'sei': '15.47'}",CHEMBL140267,,CHEMBL140267,5.12,0,http://www.openphacts.org/units/Nanomolar,274962,=,1,1,=,,IC50,nM,,7500.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,7.5
,,146197,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)c1nc(C(C)C)c(CO)c(-c2ccc(F)cc2)c1CO,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,,CHEMBL346859,,CHEMBL346859,,0,http://www.openphacts.org/units/Nanomolar,274952,>,1,1,>,,IC50,nM,,20000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,20.0
,,147000,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,O=C(CSc1nc2ccccc2[nH]1)c1cc(O)cc(O)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131430,J Med Chem,1998,,CHEMBL2112026,,CHEMBL2112026,,0,http://www.openphacts.org/units/Nanomolar,289767,>,1,1,>,,Ki,nM,,500000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,500.0
,,147019,[],CHEMBL683954,Compound was evaluated for its binding affinity towards cloned human Glucagon receptor in BHK cells,B,,,BAO_0000192,BAO_0000219,cell-based format,O=C(CSc1nc2ccccc2[nH]1)c1ccc(O)c(O)c1,,,CHEMBL1131430,J Med Chem,1998,"{'bei': '15.65', 'le': '0.31', 'lle': '1.75', 'sei': '5.45'}",CHEMBL346451,,CHEMBL346451,4.70,0,http://www.openphacts.org/units/Nanomolar,289739,=,1,1,=,,Ki,nM,,20000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,20.0
,,148630,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCc1c(C(C)C)nc(C(C)C)c([C@@H](C)O)c1-c1ccc(F)cc1,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,"{'bei': '17.95', 'le': '0.34', 'lle': '-0.39', 'sei': '20.90'}",CHEMBL358250,,CHEMBL358250,6.92,0,http://www.openphacts.org/units/Nanomolar,274937,=,1,1,=,,IC50,nM,,120.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,0.12
,,149350,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,Oc1ccc(/C(CSc2nc3ccccc3[nH]2)=N\OCc2ccccc2)cc1Cl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131430,J Med Chem,1998,,CHEMBL149067,,CHEMBL149067,,0,http://www.openphacts.org/units/Nanomolar,289743,>,1,1,>,,Ki,nM,,500000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,500.0
,,150947,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,C=Cc1c(C(C)C)nc(C(C)C)c(CO)c1-c1ccc(F)cc1,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,"{'bei': '16.66', 'le': '0.31', 'lle': '-0.05', 'sei': '15.77'}",CHEMBL140209,,CHEMBL140209,5.22,0,http://www.openphacts.org/units/Nanomolar,274953,=,1,1,=,,IC50,nM,,6000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,6.0
,,150958,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1c(C(C)C)nc(C(C)C)c(C(C)O)c1-c1ccc(F)cc1,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,"{'bei': '19.38', 'le': '0.36', 'lle': '0.52', 'sei': '20.10'}",CHEMBL142414,,CHEMBL142414,6.66,0,http://www.openphacts.org/units/Nanomolar,274943,=,1,1,=,,IC50,nM,,220.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,0.22
,,150959,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCc1c(C(C)C)nc(C(C)C)c(C(C)O)c1-c1ccc(F)cc1,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,"{'bei': '18.47', 'le': '0.35', 'lle': '0.07', 'sei': '19.93'}",CHEMBL142944,,CHEMBL142944,6.60,0,http://www.openphacts.org/units/Nanomolar,274941,=,1,1,=,,IC50,nM,,250.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,0.25
,,151797,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,O=C(CSc1nc2ccccc2o1)c1ccc(O)c(O)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131430,J Med Chem,1998,,CHEMBL148645,,CHEMBL148645,,0,http://www.openphacts.org/units/Nanomolar,289758,=,1,1,=,,Ki,nM,,250000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,250.0
,,152180,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,CCCc1c(C(C)C)nc(C(C)C)c([C@@H](C)O)c1-c1ccc(F)cc1,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,"{'bei': '20.26', 'le': '0.38', 'lle': '0.82', 'sei': '21.01'}",CHEMBL25637,,CHEMBL25637,6.96,0,http://www.openphacts.org/units/Nanomolar,274942,=,1,1,=,,IC50,nM,,110.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,0.11
,,153024,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,O=C(CSc1nc2ccccc2[nH]1)c1cccc(O)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131430,J Med Chem,1998,,CHEMBL147173,,CHEMBL147173,,0,http://www.openphacts.org/units/Nanomolar,289769,=,1,1,=,,Ki,nM,,380000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,380.0
,,154243,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,O=C(CSc1nc2ccccc2[nH]1)c1ccc(O)cc1,,,CHEMBL1131430,J Med Chem,1998,,CHEMBL149123,,CHEMBL149123,,0,http://www.openphacts.org/units/Nanomolar,289766,>,1,1,>,,Ki,nM,,60000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,60.0
,,154244,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,O=C(CSc1nc2ccccc2[nH]1)c1ccc(O)c(C(=O)O)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131430,J Med Chem,1998,,CHEMBL148045,,CHEMBL148045,,0,http://www.openphacts.org/units/Nanomolar,289768,=,1,1,=,,Ki,nM,,200000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,200.0
,,155346,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,O=C(O)c1ccc(C(=O)CSc2nc3ccccc3[nH]2)cc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131430,J Med Chem,1998,,CHEMBL146181,,CHEMBL146181,,0,http://www.openphacts.org/units/Nanomolar,289748,>,1,1,>,,Ki,nM,,500000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,500.0
,,155347,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,CO/N=C(/CSc1nc2ccccc2[nH]1)c1ccc(O)c(Cl)c1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131430,J Med Chem,1998,,CHEMBL146374,,CHEMBL146374,,0,http://www.openphacts.org/units/Nanomolar,289744,>,1,1,>,,Ki,nM,,500000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,500.0
,,155348,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)c1cccc(COc2ccc3[nH]c(SCC(=O)c4ccc(O)c(Cl)c4)nc3c2)c1,,,CHEMBL1131430,J Med Chem,1998,"{'bei': '10.43', 'le': '0.21', 'lle': '-0.22', 'sei': '4.96'}",CHEMBL356726,,CHEMBL356726,5.04,0,http://www.openphacts.org/units/Nanomolar,289759,=,1,1,=,,Ki,nM,,9200.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,9.2
,,155839,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCc1c(C)nc(C)c(CO)c1-c1ccccc1,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,,CHEMBL142937,,CHEMBL142937,,0,http://www.openphacts.org/units/Nanomolar,274948,>,1,1,>,,IC50,nM,,20000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,20.0
,,155854,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCc1c(C(C)C)nc(C(C)C)c([C@@H](C)O)c1-c1ccc(F)cc1,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,"{'bei': '18.37', 'le': '0.35', 'lle': '-0.10', 'sei': '20.60'}",CHEMBL356089,,CHEMBL356089,6.82,0,http://www.openphacts.org/units/Nanomolar,274939,=,1,1,=,,IC50,nM,,150.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,0.15
,,155855,[],CHEMBL878575,Inhibitory concentration against binding to the human glucagon receptor (hGR),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCCCc1c(C(C)C)nc(C(C)C)c(C(C)O)c1-c1ccc(F)cc1,,,CHEMBL1135047,Bioorg Med Chem Lett,2002,"{'bei': '17.17', 'le': '0.32', 'lle': '-0.69', 'sei': '19.99'}",CHEMBL422833,,CHEMBL422833,6.62,0,http://www.openphacts.org/units/Nanomolar,274938,=,1,1,=,,IC50,nM,,240.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,IC50,uM,UO_0000065,,0.24
,,156675,[],CHEMBL680803,Binding affinity towards cloned human glucagon receptor in BHK cells.,B,,,BAO_0000192,BAO_0000219,cell-based format,O=C(CSc1nc2cc(Cl)c(Cl)cc2[nH]1)c1ccc(O)c(O)c1,,,CHEMBL1131430,J Med Chem,1998,"{'bei': '12.73', 'le': '0.28', 'lle': '0.44', 'sei': '5.45'}",CHEMBL146839,,CHEMBL146839,4.70,0,http://www.openphacts.org/units/Nanomolar,289752,=,1,1,=,,Ki,nM,,20000.0,CHEMBL1985,Homo sapiens,Glucagon receptor,9606,,,Ki,uM,UO_0000065,,20.0
