action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1614234,[],CHEMBL856245,Inhibitory concentration against human gastric inhibitory polypeptide receptor (hGIP) mediated cAMP accumulation,F,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)(C)C1CCC2(CC1)CCN(c1ccc(OC(F)(F)F)cc1)C(=O)N2Cc1ccc(C(=O)Nc2nn[nH]n2)cc1,,,CHEMBL1142854,Bioorg Med Chem Lett,2005,,CHEMBL198387,,CHEMBL198387,6.37,0,http://www.openphacts.org/units/Nanomolar,404008,=,1,1,=,,IC50,nM,,430.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,IC50,uM,UO_0000065,,0.43
,,1778737,[],CHEMBL911155,Inhibition of GIP receptor at 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(O)COc1ccc(Br)cc1C(=O)c1cnn(-c2ccccc2)c1,,,CHEMBL1137324,J Med Chem,2006,,CHEMBL217053,,CHEMBL217053,,0,http://qudt.org/vocab/unit#Percent,590737,<,1,1,<,,Inhibition,%,,30.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,Inhibition,%,UO_0000187,,30.0
,,1956912,[],CHEMBL890127,Antagonist activity at human GIP receptor transfected in CHO cells assessed as inhibition of glucagon-induced cAMP accumulation,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)[C@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCc3cc(C(=O)NCCC(=O)O)ccc32)CC1,,,CHEMBL1146306,Bioorg Med Chem Lett,2007,,CHEMBL234087,,CHEMBL234087,6.88,0,http://www.openphacts.org/units/Nanomolar,646702,=,1,1,=,,IC50,nM,,132.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,IC50,nM,UO_0000065,,132.0
,,1957202,[],CHEMBL890127,Antagonist activity at human GIP receptor transfected in CHO cells assessed as inhibition of glucagon-induced cAMP accumulation,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)[C@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCOc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1,,,CHEMBL1146306,Bioorg Med Chem Lett,2007,,CHEMBL411832,,CHEMBL411832,6.93,0,http://www.openphacts.org/units/Nanomolar,646709,=,1,1,=,,IC50,nM,,117.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,IC50,nM,UO_0000065,,117.0
,,1957203,[],CHEMBL890127,Antagonist activity at human GIP receptor transfected in CHO cells assessed as inhibition of glucagon-induced cAMP accumulation,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)[C@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCOc3cc(C(=O)NCCC(=O)O)ccc32)CC1,,,CHEMBL1146306,Bioorg Med Chem Lett,2007,,CHEMBL395759,,CHEMBL395759,6.66,0,http://www.openphacts.org/units/Nanomolar,646708,=,1,1,=,,IC50,nM,,217.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,IC50,nM,UO_0000065,,217.0
,,1957204,[],CHEMBL890127,Antagonist activity at human GIP receptor transfected in CHO cells assessed as inhibition of glucagon-induced cAMP accumulation,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)[C@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCCc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1,,,CHEMBL1146306,Bioorg Med Chem Lett,2007,,CHEMBL411831,,CHEMBL411831,6.75,0,http://www.openphacts.org/units/Nanomolar,646707,=,1,1,=,,IC50,nM,,178.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,IC50,nM,UO_0000065,,178.0
,,1957205,[],CHEMBL890127,Antagonist activity at human GIP receptor transfected in CHO cells assessed as inhibition of glucagon-induced cAMP accumulation,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)[C@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCCc3cc(C(=O)NCCC(=O)O)ccc32)CC1,,,CHEMBL1146306,Bioorg Med Chem Lett,2007,,CHEMBL232241,,CHEMBL232241,6.77,0,http://www.openphacts.org/units/Nanomolar,646706,=,1,1,=,,IC50,nM,,171.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,IC50,nM,UO_0000065,,171.0
,,1957206,[],CHEMBL890127,Antagonist activity at human GIP receptor transfected in CHO cells assessed as inhibition of glucagon-induced cAMP accumulation,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)[C@H]1CC[C@@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1,,,CHEMBL1146306,Bioorg Med Chem Lett,2007,,CHEMBL232239,,CHEMBL232239,6.36,0,http://www.openphacts.org/units/Nanomolar,646705,=,1,1,=,,IC50,nM,,435.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,IC50,nM,UO_0000065,,435.0
,,1957207,[],CHEMBL890127,Antagonist activity at human GIP receptor transfected in CHO cells assessed as inhibition of glucagon-induced cAMP accumulation,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)[C@H]1CC[C@@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCc3cc(C(=O)NCCC(=O)O)ccc32)CC1,,,CHEMBL1146306,Bioorg Med Chem Lett,2007,,CHEMBL398180,,CHEMBL398180,6.22,0,http://www.openphacts.org/units/Nanomolar,646704,=,1,1,=,,IC50,nM,,603.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,IC50,nM,UO_0000065,,603.0
,,1957208,[],CHEMBL890127,Antagonist activity at human GIP receptor transfected in CHO cells assessed as inhibition of glucagon-induced cAMP accumulation,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)[C@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1,,,CHEMBL1146306,Bioorg Med Chem Lett,2007,,CHEMBL396215,,CHEMBL396215,6.53,0,http://www.openphacts.org/units/Nanomolar,646703,=,1,1,=,,IC50,nM,,296.0,CHEMBL4383,Homo sapiens,Gastric inhibitory polypeptide receptor,9606,,,IC50,nM,UO_0000065,,296.0
